lgb_importance_1,lgb_importance_2,lgb_importance_3,lgb_importance_4,lgb_importance_5
71325,86851,73168,87594,66947
3025,3516,3453,3605,3415
662,1037,820,906,734
57,90,47,48,48
41,68,42,33,26
0,0,0,0,0
395,486,403,463,433
369,177,206,357,345
532,559,482,541,465
0,0,0,0,4
8504,14939,8400,14740,7166
10000,17018,10470,16579,9183
5430,10346,5573,10530,4527
5464,10278,5421,10329,4364
5969,6503,5923,6607,5655
1270,1840,1251,1744,1078
598,771,538,833,422
1968,2348,2037,2311,1762
36,126,48,98,29
537,921,559,862,368
748,972,844,1173,732
482,907,662,800,447
1033,2075,1788,1155,1675
2562,2449,2550,1228,1698
510,695,803,756,889
726,1496,1136,947,1022
18589,21011,18544,20612,18342
9150,10842,9706,10554,8086
7917,9567,9188,9559,7630
6031,7352,5281,7249,4897
5626,6094,4413,5578,4488
3888,5897,4473,6018,3459
4201,5497,4462,5502,4172
4612,6185,5358,6325,4758
2619,3446,3276,3339,2128
3612,4176,4434,4520,3627
1368,1765,1471,2009,1193
1490,1868,1555,2223,1114
5980,7180,5718,6785,4862
7321,9264,7302,9751,7086
2794,4821,2919,5093,2452
3906,5831,4034,6035,3295
4634,7347,4764,7395,3923
3933,5032,4220,5344,3623
2697,5386,3008,4938,2419
1960,3542,2119,3743,1845
1973,3336,2534,3586,1662
5285,5636,5012,6365,4967
5588,6138,4490,6713,5114
2413,3587,2254,3522,1732
2602,4268,2697,4283,2156
