lgb_importance_1,lgb_importance_2,lgb_importance_3,lgb_importance_4,lgb_importance_5
7217,7137,7738,7259,7016
6060,6028,6606,6224,6040
2044,2148,2478,2055,2133
1127,1135,1350,1316,1206
2465,2392,2511,2552,2273
1584,1507,1986,1619,1868
510,534,684,546,511
790,828,1025,891,785
555,575,783,583,532
680,606,853,755,795
972,826,1062,1006,1053
3462,3759,4487,3809,3734
6511,6663,8185,7080,6805
1923,1909,2440,2009,2068
2832,3037,3629,3169,3007
2825,2762,3266,2841,2846
3730,3458,4143,3595,3746
1448,1382,1775,1354,1538
1454,1513,1665,1599,1499
3347,3456,4340,3521,3573
1563,1775,2262,1742,1879
2397,2227,2707,2544,2440
1670,1439,1952,1690,1793
990,1030,1619,1151,1091
1421,1345,1825,1442,1484
4139,3869,5189,4195,4100
2285,2131,2896,2302,2064
1083,1193,1563,1276,1119
1155,1100,1555,1360,1219
1522,1480,1831,1594,1543
2095,2206,2666,2103,2249
1535,1515,1830,1593,1455
882,794,1208,842,1007
917,803,1288,910,928
777,775,1130,986,901
789,710,990,718,851
1415,1427,1520,1296,1456
2616,2448,2443,2285,2386
643,546,940,720,804
1084,945,1311,1012,1161
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4354,4261,4803,4333,4262
0,0,0,0,0
4679,5110,5467,5124,4799
3806,3883,4327,3805,4009
3264,3227,3897,3354,3173
2916,3060,3526,3277,3111
3967,4047,4664,4423,4280
2148,2284,2671,2281,2186
1607,1726,1937,1772,1726
1963,1887,2262,2003,1940
1945,1888,2266,1958,2072
2766,2924,3689,2933,2910
3972,4112,5082,4294,4234
1822,1745,2370,1721,1821
2241,2197,2839,2393,2288
1841,1722,2203,1725,1630
2474,2577,2997,2505,2687
2207,2172,2547,2136,2203
1308,1198,1477,1333,1223
2347,2079,2747,2391,2424
1826,1897,2533,1960,2049
1392,1525,2101,1620,1402
1326,1274,1591,1431,1320
1563,1667,2079,1751,1689
1073,973,1348,1114,1080
1312,1381,1910,1563,1611
1866,2100,2261,2055,1949
2036,1936,2247,1965,1990
943,970,1180,1043,942
789,821,1131,831,813
1978,1757,2060,1764,1741
728,831,1108,835,783
1006,1094,1504,1286,1129
1318,1316,1669,1376,1346
927,1063,1497,1062,1075
797,948,1134,927,989
1308,1111,1278,1309,1252
1589,1485,1861,1655,1673
864,816,909,849,854
1343,1052,1278,1152,1055
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
